Date,DOW,Rm Sold,Revenue,ADR,Occupancy_Pct,RevPar
2018-01-01,Mon,284,209885.32,746.92,84.64,632.18
2018-01-02,Tue,255,147286.21,584.47,76.13,444.97
2018-01-03,Wed,273,137774.31,510.28,81.57,416.24
2018-01-04,Thu,289,134473.37,470.19,86.4,406.26
2018-01-05,Fri,280,128063.41,462.32,83.69,386.9
2018-01-06,Sat,251,112440.92,453.39,74.92,339.7
2018-01-07,Sun,220,102986.19,474.59,65.56,311.14
2018-01-08,Mon,244,118604.24,492.13,72.81,358.32
2018-01-09,Tue,243,114803.39,478.35,72.51,346.84
2018-01-10,Wed,266,130536.84,496.34,79.46,394.37
2018-01-11,Thu,323,156211.97,488.16,96.39,470.52
2018-01-12,Fri,322,160325.56,502.59,95.51,480.02
2018-01-13,Sat,337,184718.5,548.13,100.0,548.13
2018-01-14,Sun,337,192778.49,572.04,100.0,572.04
2018-01-15,Mon,337,196912.88,584.31,100.0,584.31
2018-01-16,Tue,337,193351.94,573.74,100.0,573.74
2018-01-17,Wed,337,198610.59,589.35,100.0,589.35
2018-01-18,Thu,322,178973.66,559.29,95.24,532.66
2018-01-19,Fri,303,154875.39,514.54,90.12,463.7
2018-01-20,Sat,310,157456.36,511.22,92.49,472.84
2018-01-21,Sun,313,168715.92,542.49,93.39,506.65
2018-01-22,Mon,337,181823.8,539.54,100.0,539.54
2018-01-23,Tue,337,179187.78,531.71,100.0,531.71
2018-01-24,Wed,318,178289.84,564.21,94.89,535.4
2018-01-25,Thu,318,171738.82,543.48,95.18,517.29
2018-01-26,Fri,309,164177.01,534.78,92.47,494.51
2018-01-27,Sat,310,167651.28,544.32,92.77,504.97
2018-01-28,Sun,311,182638.27,591.06,93.07,550.12
2018-01-29,Mon,318,203721.48,644.69,94.89,611.78
2018-01-30,Tue,334,205923.08,620.25,99.4,616.54
2018-01-31,Wed,316,192717.34,625.71,92.77,580.47
2018-02-01,Thu,305,162946.32,550.49,89.16,490.8
2018-02-02,Fri,319,142688.76,502.43,84.52,424.67
2018-02-03,Sat,301,128575.8,481.56,79.46,382.67
2018-02-04,Sun,332,163241.0,544.14,89.29,485.84
2018-02-05,Mon,320,166484.53,538.78,91.96,495.49
2018-02-06,Tue,337,176199.87,522.85,100.0,522.85
2018-02-07,Wed,337,176542.34,523.86,100.0,523.86
2018-02-08,Thu,337,177357.98,526.28,100.0,526.28
2018-02-09,Fri,300,152677.73,512.34,89.76,459.87
2018-02-10,Sat,266,126254.61,478.24,79.76,381.43
2018-02-11,Sun,250,122064.12,492.19,74.92,368.77
2018-02-12,Mon,277,133044.47,483.8,83.08,401.95
2018-02-13,Tue,283,134512.6,478.69,84.38,403.94
2018-02-14,Wed,260,126379.25,491.75,77.64,381.81
2018-02-15,Thu,258,121592.5,474.97,77.34,367.35
2018-02-16,Fri,278,125738.09,455.57,82.88,377.59
