Date,DOW,Rm Sold,Revenue,ADR,RevPar,Occupancy_Pct
2023-01-01,Sun,207,152922.15,738.754347826087,451.097787610619,61.06194690265486
2023-01-02,Mon,166,89065.57,536.539578313253,262.73029498525,48.96755162241888
2023-01-03,Tue,152,72653.79,477.985460526315,214.317964601769,44.83775811209439
2023-01-04,Wed,166,81856.97,493.114277108433,241.465988200589,48.96755162241888
2023-01-05,Thu,164,77865.6399999999,474.790487804877,229.69215339233,48.37758112094395
2023-01-06,Fri,161,75300.03,467.70204968944,222.123982300884,47.49262536873156
2023-01-07,Sat,160,70172.79,438.5799375,206.999380530973,47.1976401179941
2023-01-08,Sun,168,76000.09,452.381488095238,224.189056047197,49.557522123893804
2023-01-09,Mon,160,68338.73,427.1170625,201.589174041297,47.1976401179941
2023-01-10,Tue,169,74760.0699999999,442.367278106508,220.531179941002,49.852507374631266
2023-01-11,Wed,181,80102.03,442.552651933701,236.289174041297,53.392330383480825
2023-01-12,Thu,199,88767.31,446.06688442211,261.850471976401,58.70206489675516
2023-01-13,Fri,212,98818.42,466.124622641509,291.499764011799,62.53687315634219
2023-01-14,Sat,214,98634.82,460.910373831775,290.958171091445,63.12684365781711
2023-01-15,Sun,232,104854.76,451.960172413793,309.306076696165,68.43657817109144
2023-01-16,Mon,275,121197.65,440.718727272727,357.515191740412,81.12094395280236
2023-01-17,Tue,286,127867.519999999,447.08923076923,377.190324483775,84.36578171091446
2023-01-18,Wed,312,143773.27,460.811762820512,424.109941002949,92.03539823008849
2023-01-19,Thu,290,134377.98,463.372344827586,396.395221238938,85.54572271386431
2023-01-20,Fri,214,94998.9,443.920093457943,280.232743362831,63.12684365781711
2023-01-21,Sat,205,91837.51,447.987853658536,270.907109144542,60.47197640117994
2023-01-22,Sun,212,91504.9899999999,431.627311320754,269.92622418879,62.53687315634219
2023-01-23,Mon,218,94475.4899999999,433.373807339449,278.688761061946,64.30678466076697
2023-01-24,Tue,242,106195.88,438.825950413223,313.262182890855,71.38643067846607
2023-01-25,Wed,260,115247.37,443.259115384615,339.962743362831,76.69616519174042
2023-01-26,Thu,277,123480.769999999,445.778953068592,364.25005899705,81.71091445427729
2023-01-27,Fri,287,129939.36,452.750383275261,383.301946902654,84.66076696165192
2023-01-28,Sat,290,131986.699999999,455.126551724137,389.341297935103,85.54572271386431
2023-01-29,Sun,315,152163.669999999,483.059269841269,448.860383480825,92.92035398230088
2023-01-30,Mon,310,175996.94,567.732064516129,519.165014749262,91.44542772861357
2023-01-31,Tue,310,173252.31,558.878419354838,511.068761061946,91.44542772861357
2023-02-01,Wed,307,169446.59,551.94328990228,499.842448377581,90.56047197640117
2023-02-02,Thu,292,158623.58,543.231438356164,467.91616519174,86.13569321533923
2023-02-03,Fri,236,105218.739999999,445.842118644067,310.379764011799,69.6165191740413
2023-02-04,Sat,244,104889.65,429.875614754098,309.408997050147,71.976401179941
2023-02-05,Sun,246,103859.81,422.194349593495,306.371120943952,72.56637168141593
2023-02-06,Mon,263,111837.66,425.23825095057,329.904601769911,77.5811209439528
2023-02-07,Tue,291,128437.09,441.364570446735,378.870471976401,85.84070796460178
2023-02-08,Wed,286,126906.819999999,443.730139860139,374.356401179941,84.36578171091446
2023-02-09,Thu,307,145706.32,474.613420195439,429.81215339233,90.56047197640117
2023-02-10,Fri,316,145130.53,459.273829113924,428.113657817109,93.21533923303835
2023-02-11,Sat,292,128715.31,440.805856164383,379.691179941003,86.13569321533923
2023-02-12,Sun,278,120938.36,435.030071942446,356.750324483775,82.00589970501476
2023-02-13,Mon,220,103101.209999999,468.641863636363,304.133362831858,64.89675516224189
2023-02-14,Tue,228,111576.959999999,489.372631578947,329.135575221238,67.2566371681416
2023-02-15,Wed,233,110003.34,472.117339055794,324.493628318584,68.73156342182891
2023-02-16,Thu,249,120611.52,484.383614457831,355.786194690265,73.45132743362832
2023-02-17,Fri,257,124082.93,482.812957198443,366.02634218289,75.81120943952803
2023-02-18,Sat,256,119481.939999999,466.726328124999,352.454100294985,75.51622418879056
2023-02-19,Sun,298,158883.089999999,533.164731543624,468.681681415929,87.90560471976401
2023-02-20,Mon,327,212229.83,649.020886850152,626.046696165191,96.46017699115043
2023-02-21,Tue,326,215370.42,660.645460122699,635.310973451327,96.16519174041298
2023-02-22,Wed,339,245098.489999999,723.004395280235,723.004395280235,100.0
2023-02-23,Thu,334,262296.33,785.318353293413,773.735486725663,98.52507374631269
2023-02-24,Fri,322,196017.129999999,608.748850931677,578.221622418879,94.98525073746312
2023-02-25,Sat,287,149140.47,519.653205574913,439.942389380531,84.66076696165192
2023-02-26,Sun,245,113051.829999999,461.436040816326,333.48622418879,72.27138643067846
2023-02-27,Mon,275,116351.27,423.095527272727,343.219085545722,81.12094395280236
2023-02-28,Tue,307,136474.87,444.543550488599,402.580737463126,90.56047197640117
2023-03-01,Wed,325,149796.22,460.911446153846,441.876755162241,95.87020648967551
2023-03-02,Thu,321,170391.02,530.813146417445,502.62837758112,94.69026548672566
2023-03-03,Fri,302,153542.129999999,508.417649006622,452.926637168141,89.08554572271386
2023-03-04,Sat,302,152775.93,505.880562913907,450.666460176991,89.08554572271386
2023-03-05,Sun,310,149024.62,480.724580645161,439.600648967551,91.44542772861357
2023-03-06,Mon,320,170652.0,533.2875,503.398230088495,94.3952802359882
2023-03-07,Tue,334,192351.58,575.902934131736,567.408790560472,98.52507374631269
2023-03-08,Wed,333,193317.42,580.532792792792,570.257876106194,98.23008849557522
2023-03-09,Thu,326,177758.969999999,545.272914110429,524.362743362831,96.16519174041298
2023-03-10,Fri,313,173134.38,553.144984025559,510.720884955752,92.33038348082596
2023-03-11,Sat,261,131429.19,503.560114942528,387.696725663716,76.99115044247787
2023-03-12,Sun,260,131168.96,504.496,386.929085545722,76.69616519174042
2023-03-13,Mon,281,153474.47,546.172491103202,452.727050147492,82.89085545722715
2023-03-14,Tue,320,175987.48,549.960875,519.137109144542,94.3952802359882
