GPAGEID,REC_TYPE,REC_TYPE_DESC,SUMNO_ROOMSPERREC_TYPE,SUMCALC_OCCROOMSPERREC_TYPE,SUMCALC_INVROOMSPERREC_TYPE,SUMARRIVAL_ROOMSPERREC_TYPE,SUMCOMPLIMENTARY_ROOMSPERREC_T,SUMHOUSE_USE_ROOMSPERREC_TYPE,SUMDAY_USE_ROOMSPERREC_TYPE,SUMNO_SHOW_ROOMSPERREC_TYPE,SUMIND_DEDUCT_ROOMSPERREC_TYPE,SUMIND_NON_DEDUCT_ROOMSPERREC_,SUMGRP_DEDUCT_ROOMSPERREC_TYPE,SUMGRP_NON_DEDUCT_ROOMSPERREC_,SUMDEPARTURE_ROOMSPERREC_TYPE,SUMOOO_ROOMSPERREC_TYPE,SUMNO_PERSONSPERREC_TYPE,SUMINVENTORY_ROOMSPERREC_TYPE,SUMREVENUEPERREC_TYPE,SUMOWNER_ROOMSPERREC_TYPE,SUMFF_ROOMSPERREC_TYPE,CF_AVERAGE_ROOM_RATE_REC_TYPE,CF_OCCUPANCY_REC_TYPE,REVENUE,NO_ROOMS,IND_DEDUCT_ROOMS,IND_NON_DEDUCT_ROOMS,GRP_DEDUCT_ROOMS,GRP_NON_DEDUCT_ROOMS,NO_PERSONS,ARRIVAL_ROOMS,DEPARTURE_ROOMS,COMPLIMENTARY_ROOMS,HOUSE_USE_ROOMS,DAY_USE_ROOMS,NO_SHOW_ROOMS,INVENTORY_ROOMS,CONSIDERED_DATE,CHAR_CONSIDERED_DATE,IND_DEDUCT_REVENUE,IND_NON_DEDUCT_REVENUE,GRP_NON_DEDUCT_REVENUE,GRP_DEDUCT_REVENUE,OWNER_ROOMS,FF_ROOMS,CF_OOO_ROOMS,CF_CALC_OCC_ROOMS,CF_CALC_INV_ROOMS,CF_AVERAGE_ROOM_RATE,CF_OCCUPANCY,CF_IND_DED_REV,CF_IND_NON_DED_REV,CF_BLK_DED_REV,CF_BLK_NON_DED_REV
,A_STAT,History,39401,37413,124074,6834,135,1988,82,138,35316,0,4085,0,6887,1587,56404,124074,12439262.35,0,0,332.485028,30.1537792,197200.9031,283,218,0,65,0,564,46,67,0,1,0,1,339,01-Jan-20,01.01.20 Wed,139987.8631,0,0,57213.04,0,0,5,282,339,699.2939825,83.18584071,139987.8631,,57213.04,
,A_STAT,History,39401,37413,124074,6834,135,1988,82,138,35316,0,4085,0,6887,1587,56404,124074,12439262.35,0,0,332.485028,30.1537792,155293.0255,281,213,0,68,0,573,75,77,0,1,1,1,339,02-Jan-20,02.01.20 Thu,113693.2055,0,0,41599.82,0,0,5,280,339,554.6179483,82.59587021,113693.2055,,41599.82,
,A_STAT,History,39401,37413,124074,6834,135,1988,82,138,35316,0,4085,0,6887,1587,56404,124074,12439262.35,0,0,332.485028,30.1537792,163611.0014,326,191,0,135,0,599,101,56,0,1,1,4,339,03-Jan-20,03.01.20 Fri,89931.68143,0,0,73679.32,0,0,5,325,339,503.4184659,95.87020649,89931.68143,,73679.32,
,A_STAT,History,39401,37413,124074,6834,135,1988,82,138,35316,0,4085,0,6887,1587,56404,124074,12439262.35,0,0,332.485028,30.1537792,155274.5604,319,181,0,138,0,564,58,65,0,1,0,2,339,04-Jan-20,04.01.20 Sat,80168.82041,0,0,75105.74,0,0,5,318,339,488.2847812,93.80530973,80168.82041,,75105.74,
,A_STAT,History,39401,37413,124074,6834,135,1988,82,138,35316,0,4085,0,6887,1587,56404,124074,12439262.35,0,0,332.485028,30.1537792,125547.6641,263,198,0,65,0,454,63,119,0,1,0,1,339,05-Jan-20,05.01.20 Sun,93707.59408,0,0,31840.07,0,0,6,262,339,479.1895576,77.28613569,93707.59408,,31840.07,
,A_STAT,History,39401,37413,124074,6834,135,1988,82,138,35316,0,4085,0,6887,1587,56404,124074,12439262.35,0,0,332.485028,30.1537792,144661.1512,319,218,0,101,0,513,135,79,0,1,1,1,339,06-Jan-20,06.01.20 Mon,99408.05122,0,0,45253.1,0,0,5,318,339,454.9092806,93.80530973,99408.05122,,45253.1,
,A_STAT,History,39401,37413,124074,6834,135,1988,82,138,35316,0,4085,0,6887,1587,56404,124074,12439262.35,0,0,332.485028,30.1537792,146161.8906,317,227,0,90,0,536,54,54,0,1,4,0,339,07-Jan-20,07.01.20 Tue,107138.4306,0,0,39023.46,0,0,4,316,339,462.5376285,93.21533923,107138.4306,,39023.46,
,A_STAT,History,39401,37413,124074,6834,135,1988,82,138,35316,0,4085,0,6887,1587,56404,124074,12439262.35,0,0,332.485028,30.1537792,156770.0641,339,249,0,90,0,590,69,46,0,0,2,0,339,08-Jan-20,08.01.20 Wed,119574.0041,0,0,37196.06,0,0,0,339,339,462.4485666,100,119574.0041,,37196.06,
,A_STAT,History,39401,37413,124074,6834,135,1988,82,138,35316,0,4085,0,6887,1587,56404,124074,12439262.35,0,0,332.485028,30.1537792,137827.3131,320,257,0,63,0,594,70,90,0,1,1,1,339,09-Jan-20,09.01.20 Thu,111626.9431,0,0,26200.37,0,0,4,319,339,432.0605425,94.10029499,111626.9431,,26200.37,
,A_STAT,History,39401,37413,124074,6834,135,1988,82,138,35316,0,4085,0,6887,1587,56404,124074,12439262.35,0,0,332.485028,30.1537792,133551.0984,320,284,0,36,0,630,114,114,1,1,1,0,339,10-Jan-20,10.01.20 Fri,122847.3884,0,0,10703.71,0,0,4,319,339,418.6554808,94.10029499,122847.3884,,10703.71,
