Year,Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
2009,1,January,31,4196155.71,6111,686.66,58.15,399.29
2009,2,February,28,4204867.64,5990,701.98,63.11,443.02
2009,3,March,31,4320177.62,6757,639.36,64.3,411.11
2009,4,April,30,3144609.9,5496,572.16,54.04,309.2
2009,5,May,31,2844470.58,5555,512.06,52.86,270.67
2009,6,June,30,2443536.44,5054,483.49,49.7,240.29
2009,7,July,31,1983646.32,4453,445.46,42.37,188.74
2009,8,August,31,1731462.66,3959,437.35,37.67,164.75
2009,9,September,30,1999950.71,4465,447.92,43.9,196.64
2009,10,October,31,3525432.27,6712,525.24,63.87,335.47
2009,11,November,30,4834176.43,8616,561.07,84.72,475.34
2009,12,December,31,3156985.23,5843,540.3,55.6,300.41
2010,1,January,31,3126228.91,5584,559.85,53.14,297.5
2010,2,February,28,4385951.38,7563,579.92,79.68,462.08
2010,3,March,31,3263856.75,6385,511.18,60.76,310.59
2010,4,April,30,2459888.99,5245,469.0,51.57,241.86
2010,5,May,31,2173461.38,5145,422.44,48.96,206.83
2010,6,June,30,1551962.57,4014,386.64,39.47,152.61
2010,7,July,31,1704630.61,4490,379.65,42.73,162.22
2010,8,August,31,1474585.37,4284,344.21,40.77,140.33
2010,9,September,30,2108754.91,5214,404.44,51.27,207.36
2010,10,October,31,2828866.73,6291,449.67,59.86,269.17
2010,11,November,30,4057399.96,8364,485.1,82.24,398.95
2010,12,December,31,3460240.97,7434,465.46,70.74,329.27
2011,1,January,31,3600872.13,7870,457.54,74.89,342.65
2011,2,February,28,4052393.85,8415,481.57,88.65,426.91
2011,3,March,31,3952963.07,8832,447.57,84.04,376.14
2011,4,April,30,3542953.15,7724,458.69,75.95,348.38
2011,5,May,31,2456605.55,6202,396.1,59.02,233.78
2011,6,June,30,2267438.4,6118,370.62,60.16,222.96
2011,7,July,31,2874995.09,7526,382.01,71.61,273.56
2011,8,August,31,1639595.85,4508,363.71,42.9,156.03
2011,9,September,30,3267275.91,7537,433.5,74.11,321.27
2011,10,October,31,4145080.57,8475,489.1,80.65,394.46
2011,11,November,30,4876900.29,8982,542.96,88.32,479.54
2011,12,December,31,4443208.79,8120,547.19,77.27,422.81
2012,1,January,31,5462211.31,9663,565.27,91.95,519.77
2012,2,February,29,4884210.01,8762,557.43,89.13,496.84
2012,3,March,31,5228430.89,9129,572.73,86.87,497.53
2012,4,April,30,4264982.84,7898,540.01,77.66,419.37
2012,5,May,31,2980351.94,6583,452.73,62.64,283.59
2012,6,June,30,2514763.45,6648,378.27,65.37,247.28
2012,7,July,31,2826609.65,6670,423.78,63.47,268.97
2012,8,August,31,2824468.22,5586,505.63,53.15,268.74
2012,9,September,30,3466421.25,7491,462.74,73.66,340.85
2012,10,October,31,5269267.15,9332,564.65,88.8,501.41
2012,11,November,30,4962224.31,9072,546.98,89.2,487.91
2012,12,December,31,4980793.02,8296,600.38,78.94,473.94
2013,1,January,31,5932589.04,9418,629.92,89.62,564.53
