Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,1172018.97,4129,283.85,39.29,111.52
2,February,28,811793.75,3371,240.82,35.51,85.52
3,March,31,955532.54,3737,255.7,35.56,90.93
4,April,30,796967.62,3072,259.43,30.21,78.37
5,May,31,864579.32,3631,238.11,34.55,82.27
6,June,30,880668.35,3689,238.73,36.27,86.59
7,July,31,745310.26,3211,232.11,30.55,70.91
8,August,31,767017.2,3428,223.75,32.62,72.99
9,September,30,1166797.71,4914,237.44,48.32,114.73
10,October,31,2917643.8,7342,397.39,69.86,277.62
11,November,30,3730984.32,7930,470.49,77.97,366.84
12,December,31,3325502.03,6551,507.63,62.34,316.46
